Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
330193,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,Flushing,NY,11355,QUEENS,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,9,5,"45TH AVENUE AND PARSONS BOULEVARD
Flushing, NY 11355
(40.755636, -73.815645)"
330264,ST LUKE'S CORNWALL HOSPITAL,70 DUBOIS STREET,Newburgh,NY,12550,ORANGE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,13,"70 DUBOIS STREET
Newburgh, NY 12550
(41.50375, -74.015175)"
330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,121 DEKALB AVENUE,Brooklyn,NY,11201,KINGS,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,12,9,"121 DEKALB AVENUE
Brooklyn, NY 11201
(40.689785, -73.9774)"
310058,BERGEN REGIONAL MEDICAL CENTER,230 EAST RIDGEWOOD AVE,Paramus,NJ,7652,BERGEN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"230 EAST RIDGEWOOD AVE
Paramus, NJ 07652
(40.958876, -74.063153)"
190308,ST BERNARD PARISH HOSPITAL,8000 WEST JUDGE PEREZ DRIVE,Chalmette,LA,70043,ST. BERNARD,2 out of 10,Not Available,2 out of 10,8 out of 10,Not Available,8 out of 10,0 out of 10,Not Available,0 out of 10,2 out of 10,Not Available,2 out of 10,4 out of 10,Not Available,4 out of 10,6 out of 10,Not Available,6 out of 10,2 out of 10,Not Available,2 out of 10,5 out of 10,Not Available,5 out of 10,29,18,"8000 WEST JUDGE PEREZ DRIVE
Chalmette, LA 70043
(29.957043, -89.98842)"
280130,CHI HEALTH LAKESIDE,16901 LAKESIDE HILLS CT,Omaha,NE,68130,DOUGLAS,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,24,19,"16901 LAKESIDE HILLS CT
Omaha, NE 68130
(41.23904, -96.180532)"
250100,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,2520 5TH ST N,Columbus,MS,39703,LOWNDES,4 out of 10,0 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,25,19,"2520 5TH ST N
Columbus, MS 39703
(33.526488, -88.429071)"
330197,CANTON-POTSDAM HOSPITAL,50 LEROY STREET,Potsdam,NY,13676,ST. LAWRENCE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3,15,"50 LEROY STREET
Potsdam, NY 13676
(44.676085, -74.981451)"
150177,UNITY MEDICAL AND SURGICAL HOSPITAL,4455 EDISON LAKES PKWY,Mishawaka,IN,46545,ST. JOSEPH,10 out of 10,9 out of 9,10 out of 10,8 out of 10,8 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,78,20,"4455 EDISON LAKES PKWY
Mishawaka, IN 46545
(41.702328, -86.177998)"
280032,MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,Hastings,NE,68901,ADAMS,5 out of 10,3 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,1 out of 9,6 out of 10,32,19,"715 N ST JOSEPH AVE
Hastings, NE 68901
(40.592416, -98.387474)"
360121,COMMUNITY HOSPITALS AND WELLNESS CENTERS,433 WEST HIGH STREET,Bryan,OH,43506,WILLIAMS,8 out of 10,7 out of 9,8 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,1 out of 9,5 out of 10,7 out of 10,5 out of 9,7 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,48,20,"433 WEST HIGH STREET
Bryan, OH 43506
(41.47461, -84.556455)"
330265,CLIFTON SPRINGS HOSPITAL AND CLINIC,2 COULTER ROAD,Clifton Springs,NY,14432,ONTARIO,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,4 out of 9,8 out of 10,2 out of 10,0 out of 9,2 out of 10,27,13,"2 COULTER ROAD
Clifton Springs, NY 14432
(42.960473, -77.139252)"
250099,GREENWOOD LEFLORE HOSPITAL,1401 RIVER RD / PO BOX 1410,Greenwood,MS,38930,LEFLORE,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3,15,"1401 RIVER RD / PO BOX 1410
Greenwood, MS 38930
(33.518253, -90.200062)"
310083,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE,East Orange,NJ,7018,ESSEX,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,12,9,"300 CENTRAL AVE
East Orange, NJ 07018
(40.753707, -74.213333)"
260004,COOPER COUNTY MEMORIAL HOSPITAL,17651 B HWY,Boonville,MO,65233,COOPER,0 out of 10,Not Available,0 out of 10,8 out of 10,Not Available,8 out of 10,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,3 out of 10,Not Available,3 out of 10,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,11,11,"17651 B HWY
Boonville, MO 65233
(38.943533, -92.742075)"
150097,MAJOR HOSPITAL,150 W WASHINGTON ST,Shelbyville,IN,46176,SHELBY,6 out of 10,0 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,3 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,1 out of 9,4 out of 10,38,20,"150 W WASHINGTON ST
Shelbyville, IN 46176
(39.524449, -85.780548)"
330218,OSWEGO HOSPITAL,110 WEST SIXTH STREET,Oswego,NY,13069,OSWEGO,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,1 out of 10,4 out of 9,4 out of 10,2 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,1 out of 9,1 out of 10,26,15,"110 WEST SIXTH STREET
Oswego, NY 13069
(43.313683, -76.424013)"
150104,WITHAM HEALTH SERVICES,2605 N LEBANON ST,Lebanon,IN,46052,BOONE,5 out of 10,4 out of 9,5 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,4 out of 9,4 out of 10,2 out of 10,3 out of 9,3 out of 10,5 out of 10,5 out of 9,5 out of 10,5 out of 10,3 out of 9,5 out of 10,3 out of 10,5 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,39,20,"2605 N LEBANON ST
Lebanon, IN 46052
(40.076856, -86.475197)"
190270,SOUTHERN SURGICAL HOSPITAL,1700 W LINDBERG DRIVE,Slidell,LA,70458,ST. TAMMANY,10 out of 10,0 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,2 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,2 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,72,20,"1700 W LINDBERG DRIVE
Slidell, LA 70458
(30.273779, -89.754498)"
230003,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,Zeeland,MI,49464,OTTAWA,8 out of 10,0 out of 9,8 out of 10,6 out of 10,2 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,8 out of 10,6 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,56,20,"8333 FELCH ST
Zeeland, MI 49464
(42.819505, -85.987329)"
310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,1925 PACIFIC AVENUE,Atlantic City,NJ,8401,ATLANTIC,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,12,14,"1925 PACIFIC AVENUE
Atlantic City, NJ 08401
(39.357791, -74.433942)"
310048,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,110 REHILL AVE,Somerville,NJ,8876,SOMERSET,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2,15,"110 REHILL AVE
Somerville, NJ 08876
(40.568414, -74.595847)"
300003,MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,Lebanon,NH,3756,GRAFTON,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,2 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,2 out of 9,6 out of 10,24,10,"1 MEDICAL CENTER DRIVE
Lebanon, NH 03756
(43.675237, -72.27642)"
150076,SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,1915 LAKE AVE,Plymouth,IN,46563,MARSHALL,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,4 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,7 out of 10,5 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,17,17,"1915 LAKE AVE
Plymouth, IN 46563
(41.335562, -86.331617)"
170074,GEARY COMMUNITY HOSPITAL,1102 ST MARY'S ROAD,Junction City,KS,66441,GEARY,5 out of 10,4 out of 9,5 out of 10,7 out of 10,4 out of 9,7 out of 10,7 out of 10,5 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,9 out of 10,7 out of 9,9 out of 10,6 out of 10,3 out of 9,6 out of 10,42,20,"1102 ST MARY'S ROAD
Junction City, KS 66441
(39.013059, -96.850438)"
320065,LEA REGIONAL MEDICAL CENTER,5419 N LOVINGTON HIGHWAY,Hobbs,NM,88240,LEA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4,12,"5419 N LOVINGTON HIGHWAY
Hobbs, NM 88240
(32.762366, -103.182479)"
230118,HURON MEDICAL CENTER,1100 SOUTH VAN DYKE ROAD,Bad Axe,MI,48413,HURON,3 out of 10,2 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,3 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,5 out of 9,6 out of 10,39,20,"1100 SOUTH VAN DYKE ROAD
Bad Axe, MI 48413
(43.802281, -83.031509)"
180092,CLARK REGIONAL MEDICAL CENTER,175 HOSPITAL DRIVE,Winchester,KY,40391,CLARK,3 out of 10,3 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,4 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,31,20,"175 HOSPITAL DRIVE
Winchester, KY 40391
(38.010511, -84.21459)"
230081,MUNSON HEALTHCARE CADILLAC HOSPITAL,400 HOBART ST,Cadillac,MI,49601,WEXFORD,6 out of 10,0 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,9 out of 10,5 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,0 out of 9,4 out of 10,44,20,"400 HOBART ST
Cadillac, MI 49601
(44.246148, -85.390456)"
250162,HANCOCK MEDICAL CENTER,149 DRINKWATER BLVD,Bay Saint Louis,MS,39520,HANCOCK,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,13,"149 DRINKWATER BLVD
Bay Saint Louis, MS 39520
(30.311883, -89.356176)"
360118,OHIOHEALTH MANSFIELD HOSPITAL,335 GLESSNER AVENUE,Mansfield,OH,44903,RICHLAND,5 out of 10,4 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,1 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,17,16,"335 GLESSNER AVENUE
Mansfield, OH 44903
(40.753365, -82.529517)"
170146,PROVIDENCE MEDICAL CENTER,8929 PARALLEL PARKWAY,Kansas City,KS,66112,WYANDOTTE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,17,"8929 PARALLEL PARKWAY
Kansas City, KS 66112
(39.128585, -94.785289)"
250007,MERIT HEALTH BILOXI,150 REYNOIR STREET,Biloxi,MS,39530,HARRISON,0 out of 10,1 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,13,"150 REYNOIR STREET
Biloxi, MS 39530
(30.396112, -88.890438)"
310060,ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,Phillipsburg,NJ,8865,WARREN,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,10,16,"185 ROSEBERRY ST
Phillipsburg, NJ 08865
(40.701628, -75.179608)"
220070,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,Melrose,MA,2176,MIDDLESEX,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,2 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,17,15,"585 LEBANON STREET
Melrose, MA 02176
(42.460055, -71.06193)"
330202,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,Brooklyn,NY,11203,KINGS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,2,4,"451 CLARKSON AVENUE
Brooklyn, NY 11203
(40.655773, -73.944039)"
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,Smithtown,NY,11787,SUFFOLK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,9,13,"50 ROUTE 25A
Smithtown, NY 11787
(40.858303, -73.18609)"
230208,SPARROW CARSON HOSPITAL,406 EAST ELM ST,Carson City,MI,48811,MONTCALM,3 out of 10,0 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,8 out of 10,0 out of 9,8 out of 10,1 out of 10,0 out of 9,1 out of 10,9 out of 10,0 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,43,19,"406 EAST ELM ST
Carson City, MI 48811
(43.175984, -84.843468)"
230021,"LAKELAND HOSPITAL, ST JOSEPH",1234 NAPIER AVENUE,St. Joseph,MI,49085,BERRIEN,6 out of 10,6 out of 9,6 out of 10,6 out of 10,6 out of 9,6 out of 10,4 out of 10,5 out of 9,5 out of 10,5 out of 10,6 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,5 out of 10,6 out of 9,6 out of 10,43,20,"1234 NAPIER AVENUE
St. Joseph, MI 49085
(42.089678, -86.477134)"
330102,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVENUE,Kenmore,NY,14217,ERIE,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,4 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,15,13,"2950 ELMWOOD AVENUE
Kenmore, NY 14217
(42.9779, -78.878678)"
280077,FREMONT HEALTH MEDICAL CENTER,450 EAST 23RD ST,Fremont,NE,68025,DODGE,6 out of 10,6 out of 9,6 out of 10,4 out of 10,4 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,0 out of 9,8 out of 10,2 out of 10,0 out of 9,2 out of 10,31,17,"450 EAST 23RD ST
Fremont, NE 68025
(41.451464, -96.492473)"
220080,HOLY FAMILY HOSPITAL,70 EAST STREET,Methuen,MA,1844,ESSEX,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,5,10,"70 EAST STREET
Methuen, MA 01844
(42.725539, -71.165979)"
260040,COX MEDICAL CENTERS,3801 SOUTH NATIONAL AVENUE,Springfield,MO,65802,GREENE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,5 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,7,14,"3801 SOUTH NATIONAL AVENUE
Springfield, MO 65802
(37.144966, -93.27808)"
340075,CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE,2201 S STERLING ST,Morganton,NC,28655,BURKE,6 out of 10,3 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,2 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,22,18,"2201 S STERLING ST
Morganton, NC 28655
(35.723376, -81.657656)"
340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,509 BILTMORE AVE,Asheville,NC,28803,BUNCOMBE,7 out of 10,0 out of 9,7 out of 10,5 out of 10,2 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,9 out of 10,0 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,6 out of 9,8 out of 10,7 out of 10,3 out of 9,7 out of 10,44,18,"509 BILTMORE AVE
Asheville, NC 28803
(35.577942, -82.54837)"
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAEL'S DRIVE,Santa Fe,NM,87505,SANTA FE,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,12,9,"455 ST MICHAEL'S DRIVE
Santa Fe, NM 87505
(35.658175, -105.948342)"
160030,MARY GREELEY MEDICAL CENTER,1111 DUFF AVENUE,Ames,IA,50010,STORY,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,2 out of 9,4 out of 10,9 out of 10,8 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,30,16,"1111 DUFF AVENUE
Ames, IA 50010
(42.032048, -93.610616)"
330208,ST JOHN'S RIVERSIDE HOSPITAL,976 NORTH BROADWAY,Yonkers,NY,10701,WESTCHESTER,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,5 out of 10,4 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,19,19,"976 NORTH BROADWAY
Yonkers, NY 10701
(40.96784, -73.885107)"
250093,BOLIVAR MEDICAL CENTER,901 E SUNFLOWER RD,Cleveland,MS,38732,BOLIVAR,0 out of 10,1 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,15,15,"901 E SUNFLOWER RD
Cleveland, MS 38732
(33.747471, -90.708078)"
310130,HACKENSACK-UMC AT PASCACK VALLEY,250 OLD HOOK ROAD,Westwood,NJ,7675,BERGEN,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,5 out of 10,Not Available,5 out of 10,0 out of 10,Not Available,0 out of 10,2 out of 10,Not Available,2 out of 10,7,15,"250 OLD HOOK ROAD
Westwood, NJ 07675
(40.983863, -74.015134)"
